elapsed_seconds,nvidia_timestamp,gpu_uuid,sm_clock_mhz,memory_clock_mhz,temperature_c,power_draw_w,power_limit_w,gpu_utilization_percent,memory_used_mib,memory_total_mib
616.6619511999997,2026/09/10 17:23:19.658,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2475,10251,76,448.98,450.00,100,1627,24564
621.7106767000005,2026/09/10 17:23:24.707,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2490,10251,75,448.70,450.00,100,1627,24564
626.7581307999972,2026/09/10 17:23:29.755,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2505,10251,76,450.65,450.00,100,1627,24564
631.8155126999991,2026/09/10 17:23:34.813,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2505,10251,76,450.37,450.00,100,1627,24564
636.8844016999974,2026/09/10 17:23:39.880,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2505,10251,76,449.63,450.00,100,1627,24564
641.9384866999972,2026/09/10 17:23:44.935,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2490,10251,76,450.51,450.00,100,1627,24564
647.0000440000003,2026/09/10 17:23:49.996,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2475,10251,76,449.14,450.00,100,1627,24564
652.0552835999988,2026/09/10 17:23:55.052,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2505,10251,75,448.48,450.00,100,1627,24564
657.1198089999998,2026/09/10 17:24:00.116,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2505,10251,76,450.31,450.00,100,1627,24564
662.1675574000001,2026/09/10 17:24:05.164,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2505,10251,76,450.52,450.00,100,1627,24564
667.2374889999992,2026/09/10 17:24:10.234,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2475,10251,76,449.17,450.00,100,1627,24564
672.2851735999975,2026/09/10 17:24:15.282,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2490,10251,76,449.62,450.00,100,1627,24564
677.3336079999972,2026/09/10 17:24:20.330,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2490,10251,76,449.64,450.00,100,1627,24564
682.3814046999978,2026/09/10 17:24:25.377,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2490,10251,75,448.21,450.00,100,1627,24564
687.4309831999999,2026/09/10 17:24:30.427,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2505,10251,76,449.77,450.00,100,1627,24564
692.4935372999971,2026/09/10 17:24:35.490,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2505,10251,76,450.56,450.00,100,1627,24564
697.5416217999991,2026/09/10 17:24:40.537,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2475,10251,76,450.65,450.00,100,1627,24564
702.5908482999985,2026/09/10 17:24:45.586,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2475,10251,76,449.82,450.00,100,1627,24564
707.6386163999996,2026/09/10 17:24:50.634,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2475,10251,75,447.89,450.00,100,1627,24564
